Wall time,Step,Value
1734116996.858584,324205,-90.69734954833984
1734116998.8505878,324336,-90.31664276123047
1734117017.704583,325731,-94.96219635009766
1734117038.930584,327270,-92.76011657714844
1734117053.8854654,328319,-113.99669647216797
1734117094.666463,331220,-115.56611633300781
1734117109.7824655,332287,-89.30408477783203
1734117124.9674642,333367,-89.32234191894531
1734117175.383465,336954,-89.49827575683594
1734117183.4004657,337486,-88.47407531738281
1734117199.137465,338411,-86.63430786132812
1734117204.2954648,338806,-87.72925567626953
1734117219.4404635,339974,-90.60261535644531
1734117245.994464,342025,-88.5993881225586
1734117255.0304654,342720,-82.96730041503906
1734117261.9824631,343249,-84.7519302368164
1734117282.9744654,344865,-85.24568939208984
1734117284.757463,344999,-85.10423278808594
1734117291.7654636,345524,-86.27445220947266
1734117300.2254639,346180,-89.74449157714844
1734117301.9214637,346315,-88.34364318847656
1734117324.7574637,348083,-89.31379699707031
1734117326.5264642,348221,-88.08699798583984
1734117328.3094647,348361,-88.11998748779297
1734117337.0344634,349029,-88.57173156738281
1734117345.9684637,349714,-87.56964874267578
1734117351.7064657,350139,-87.3135757446289
1734117369.0234644,351479,-87.24213409423828
1734117380.9174643,352411,-88.6188735961914
1734117428.7984645,356121,-86.51835632324219
1734117467.3014634,359102,-84.69599151611328
1734117484.8634636,360439,-84.94050598144531
1734117515.198465,362761,-84.27616882324219
1734117516.9514663,362897,-83.37901306152344
1734117621.5974634,370962,-86.81129455566406
1734117644.3684626,372732,-89.64801788330078
1734117676.417466,375201,-88.13490295410156
1734117681.3954635,375596,-87.24177551269531
1734117693.6184635,376539,-90.07231903076172
1734117698.7924638,376943,-90.0492172241211
1734117712.6534648,378025,-93.28326416015625
1734117793.699463,384297,-89.07830810546875
1734117820.3974633,386356,-89.20858764648438
1734117843.0964644,388131,-86.7189712524414
1734117906.9454656,393059,-92.12456512451172
1734117908.7614634,393200,-91.48113250732422
1734117943.792465,395905,-89.083251953125
1734117945.5304651,396043,-89.16350555419922
1734117947.2504647,396176,-89.43900299072266
1734117971.154464,398048,-88.87554168701172
1734117973.0224648,398194,-88.59877014160156
1734117974.7034652,398325,-88.93206787109375
1734117986.7864637,399267,-86.73456573486328
1734118017.1184638,401590,-87.62318420410156
1734118067.473464,405490,-88.70870971679688
1734118101.508464,408143,-82.96746063232422
1734118113.5554628,409088,-85.53825378417969
1734118122.2424645,409775,-91.18653869628906
1734118145.8704646,411578,-88.08182525634766
1734118151.302465,411996,-86.92221069335938
1734118167.3364668,413243,-81.9380874633789
1734118188.4724655,414891,-85.65419006347656
1734118230.6724637,418161,-90.4000244140625
1734118236.0004642,418576,-90.85525512695312
1734118302.849465,423758,-86.70164489746094
1734118364.6654644,428495,-87.39096069335938
1734118393.4864633,430705,-86.93475341796875
1734118428.6874642,433203,-83.3807373046875
1734118450.147463,434737,-85.3400650024414
1734118467.4965308,435863,-88.53279876708984
1734118489.1425319,437385,-85.57218933105469
1734118515.8355315,439377,-85.64314270019531
1734118599.0705333,445392,-83.94359588623047
1734118642.063532,448452,-91.25941467285156
1734118644.2705321,448590,-92.32606506347656
1734118658.1495306,449563,-88.95161437988281
1734118662.425531,449852,-88.00365447998047
1734118678.9830415,450840,-88.01006317138672
1734118732.6360419,454488,-88.96514129638672
1734118769.1030412,457027,-80.87681579589844
1734118816.1840427,460132,-85.24263000488281
1734118822.3910444,460541,-84.5241470336914
1734118837.443041,461518,-86.65306091308594
1734118861.9230425,463196,-90.70854949951172
1734118885.5770426,464877,-92.70804595947266
1734118911.1350427,466708,-84.7943115234375
1734118913.453044,466854,-84.2114486694336
1734118917.9150426,467153,-83.24131774902344
1734118944.5940413,469120,-90.46285247802734
1734118996.4120448,472496,-87.5064697265625
1734119003.542044,472916,-85.9401626586914
1734119008.0920432,473193,-85.42833709716797
1734119012.5080428,473475,-85.67713165283203
1734119018.943043,473883,-86.43470001220703
1734119026.5400434,474443,-86.20401000976562
1734119032.4240441,474872,-85.97028350830078
1734119070.645043,477567,-80.8350601196289
1734119111.1070426,480630,-80.07537841796875
1734119120.7470424,481315,-82.25582885742188
1734119174.3595648,485104,-81.56458282470703
1734119179.6875656,485501,-80.3292007446289
1734119188.851566,486195,-79.95121002197266
1734119190.760565,486339,-79.76343536376953
1734119203.6045668,487305,-79.53124237060547
1734119207.2885654,487571,-79.20733642578125
1734119242.884566,490242,-75.1397705078125
1734119244.8725662,490377,-75.35993957519531
1734119252.4125643,490914,-78.71405029296875
1734119257.9225647,491330,-78.7359390258789
1734119376.8355138,499294,-79.67494201660156
1734119380.9065144,499570,-79.18242645263672
1734119400.8935137,500964,-78.4851303100586
1734119418.7545142,502186,-81.44529724121094
1734119487.1434624,506826,-82.10694122314453
1734119504.8454618,508076,-81.31550598144531
1734292753.6942859,14500488,825.5454711914062
1734292765.4084568,14501118,789.20654296875
1734292789.9633043,14502499,722.8350219726562
1734292796.2743027,14502858,716.0941162109375
1734292862.8253152,14506464,555.0471801757812
1734292882.6443138,14507616,465.332763671875
1734292893.808317,14508277,450.21295166015625
1734292955.20293,14511769,251.29476928710938
1734292960.1629293,14512036,246.59510803222656
1734292980.2119296,14513148,228.725830078125
1734293002.446282,14514419,216.73316955566406
1734293018.4793499,14515272,220.35601806640625
1734293033.6373968,14516138,235.94635009765625
1734293108.5600111,14520538,322.44842529296875
1734293153.0050125,14523414,360.65472412109375
1734293164.8110085,14524202,360.5596618652344
1734293174.472009,14524887,370.1297302246094
1734293180.0330093,14525226,351.7249755859375
1734293216.9250104,14527857,276.27899169921875
1734293273.3850107,14531819,161.2812957763672
1734293293.7720094,14533263,149.2122344970703
1734293324.2980092,14535394,144.72181701660156
1734293360.588009,14537934,266.6075744628906
1734293396.6980102,14540401,326.002685546875
1734293401.3770096,14540713,325.0748291015625
1734293406.9620109,14541105,345.1914367675781
1734293415.4380095,14541708,356.8336181640625
1734293514.5060096,14548702,387.0521240234375
1734293522.0130095,14549242,368.7441711425781
1734293530.250012,14549823,357.2567138671875
1734293541.27401,14550555,369.30621337890625
1734293620.3770099,14556076,390.8204040527344
1734293648.3570108,14558053,472.1160583496094
1734293697.1100085,14561485,523.6973876953125
1734293720.7760115,14563121,564.7249755859375
1734293737.3190107,14564142,572.0298461914062
1734293762.17201,14565643,600.209716796875
1734293785.9970095,14567229,592.6282958984375
1734293836.3874965,14570405,601.1329956054688
1734293848.896497,14571211,592.8228759765625
1734293908.3194954,14574871,589.02001953125
1734293929.281027,14576119,587.693359375
1734293937.1622837,14576599,578.5661010742188
1734293982.5182838,14579515,543.4677734375
1734293992.7692838,14580095,541.8930053710938
1734294005.131285,14580870,544.0674438476562
1734294078.1407106,14585658,580.7893676757812
1734294083.9317095,14586047,579.550537109375
1734294161.0748236,14590893,648.59619140625
1734294181.425496,14592218,670.1835327148438
1734294218.410495,14594680,697.79736328125
1734294234.8010101,14595614,645.8092651367188
1734294242.7960093,14596108,646.9610595703125
1734294247.053011,14596364,648.9405517578125
1734294259.700008,14597137,648.25830078125
1734294276.4370089,14598236,623.4575805664062
1734294292.4950094,14599293,609.864990234375
1734294318.1780107,14600916,516.4644165039062
1734294326.6900084,14601468,361.5743103027344
1734294361.3930101,14603734,-17.369813919067383
1734294373.0060098,14604502,-86.09709167480469
1734294383.9740083,14605181,-159.196533203125
1734294391.8710098,14605710,-194.42958068847656
1734294393.5250094,14605814,-210.07493591308594
1734294442.0460107,14609022,-195.6633758544922
1734294447.2950087,14609378,-192.65042114257812
1734294452.9620082,14609733,-192.32565307617188
1734294461.3020093,14610221,-205.30751037597656
1734294492.8060088,14612275,-100.48540496826172
1734294496.7620094,14612532,-61.904232025146484
1734294503.0810118,14612894,8.8096342086792
1734294505.2500086,14613032,32.75876235961914
1734294521.71101,14614075,209.50794982910156
1734294594.4880104,14618869,663.2973022460938
1734294622.772011,14620708,690.3247680664062
1734294652.1610117,14622698,700.0581665039062
1734294691.30301,14625248,729.6388549804688
1734294698.6710086,14625729,725.9984741210938
1734294711.48701,14626581,712.7791137695312
1734294728.5440097,14627719,708.478271484375
1734294787.8510077,14631721,694.2261352539062
1734294808.6990108,14633151,694.677490234375
1734294870.485009,14637376,711.9920043945312
1734294919.808011,14640761,730.413330078125
1734294955.8790095,14643314,757.794189453125
1734294983.891008,14645273,777.9509887695312
1734294985.7750094,14645406,780.0399780273438
1734295001.0370092,14646500,793.98095703125
1734295004.8230088,14646771,797.1135864257812
1734295085.8680108,14652437,806.641357421875
1734295092.671008,14652932,794.7344360351562
1734295099.9350097,14653457,798.415283203125
1734295121.0080094,14654938,806.1665649414062
1734295124.4940093,14655116,803.157958984375
1734295129.2320101,14655442,803.55224609375
1734295131.3630092,14655589,803.5692749023438
1734295192.5650094,14659899,773.2512817382812
1734295217.01601,14661531,790.899169921875
1734295220.428009,14661771,777.9830932617188
1734295229.33301,14662397,773.9725341796875
1734295233.3810096,14662690,773.9365844726562
1734295254.6190093,14664192,776.0361328125
1734295270.5040097,14665270,777.455078125
1734295295.215009,14667050,794.0164184570312
1734295322.926009,14669037,788.2359619140625
1734295341.0300086,14670264,791.0534057617188
1734295347.4220104,14670700,792.7752075195312
1734295407.024008,14674905,764.7552490234375
1734295457.3050086,14678203,789.1143188476562
1734295459.3380084,14678338,789.4719848632812
1734295465.9380093,14678777,791.7486572265625
1734295470.369008,14679069,793.397216796875
1734295478.791009,14679634,800.095703125
1734295494.2450078,14680577,795.518798828125
1734295558.533008,14684527,770.4798583984375
1734295577.4820082,14685643,741.8710327148438
1734295625.0620098,14688994,791.960693359375
1734295645.4820096,14690378,792.5007934570312
1734295647.368011,14690511,792.2955932617188
1734295735.3520093,14696750,838.772705078125
1734295754.2580082,14698121,828.3807983398438
1734295764.5080092,14698856,837.119873046875
1734295862.0210094,14705657,910.0067749023438
1734295872.231009,14706388,913.6395874023438
1734295874.0540094,14706520,911.9031982421875
1734295896.4350102,14708141,909.8606567382812
1734295947.9130092,14711750,897.4752197265625
1734295994.786009,14715048,900.9544677734375
1734296073.7460098,14720613,897.6966552734375
1734296175.306009,14727829,884.2293090820312
1734296203.0650082,14729810,878.1036376953125
1734296320.3840082,14738038,879.81494140625
1734296334.846009,14739089,877.9224243164062
1734296381.6260085,14742368,907.8263549804688
1734296387.4200094,14742788,908.6182861328125
1734296391.1680076,14743065,907.6795654296875
